sample_name,Target,0,1,2,3,4,5,6,7,8,9,cas9_score,nick_to_pegRNA,dPAM,PE3b,RTT_GC,RTT_length,PBS_GC,PBS_length,N_subsitution,N_deletion,N_insertions,Target_pos,Target_end_flank
FIG3B_EMX1_+14,26.9961255,0.457382,0.523464,0.597761,0.620118,0.423703,0.484571,0.563283,0.618396,0.0809205,0.587087,69.541,14,1,0,0.538461538,13,0.533333333,15,1,0,0,5,8
FIG3B_EMX1_+27,19.5370907,0.457382,0.523464,0.597761,0.620118,0.423703,0.484571,0.563283,0.618396,0.0809205,0.587087,69.541,27,1,0,0.538461538,13,0.533333333,15,1,0,0,5,8
FIG3B_EMX1_+53,28.6254341,0.457382,0.523464,0.597761,0.620118,0.423703,0.484571,0.563283,0.618396,0.0809205,0.587087,69.541,53,1,0,0.538461538,13,0.533333333,15,1,0,0,5,8
FIG3B_EMX1_+80,31.4835642,0.457382,0.523464,0.597761,0.620118,0.423703,0.484571,0.563283,0.618396,0.0809205,0.587087,69.541,80,1,0,0.538461538,13,0.533333333,15,1,0,0,5,8
FIG3B_EMX1_-116,26.34257377,0.457382,0.523464,0.597761,0.620118,0.423703,0.484571,0.563283,0.618396,0.0809205,0.587087,69.541,-116,1,0,0.538461538,13,0.533333333,15,1,0,0,5,8
FIG3B_EMX1_-57,39.35936817,0.457382,0.523464,0.597761,0.620118,0.423703,0.484571,0.563283,0.618396,0.0809205,0.587087,69.541,-57,1,0,0.538461538,13,0.533333333,15,1,0,0,5,8
FIG3B_EMX1_NONE,13.18593513,0.457382,0.523464,0.597761,0.620118,0.423703,0.484571,0.563283,0.618396,0.0809205,0.587087,69.541,,1,0,0.538461538,13,0.533333333,15,1,0,0,5,8
FIG3B_FANCF_+21,39.56118757,0.403841,0.417398,0.422615,0,0,0.489373,0.562752,0.616559,0.404245,0.41916,60.384,21,1,0,0.470588235,17,0.533333333,15,1,0,0,5,12
FIG3B_FANCF_+48,59.72086207,0.403841,0.417398,0.422615,0,0,0.489373,0.562752,0.616559,0.404245,0.41916,60.384,48,1,0,0.470588235,17,0.533333333,15,1,0,0,5,12
FIG3B_FANCF_-17,36.8151848,0.403841,0.417398,0.422615,0,0,0.489373,0.562752,0.616559,0.404245,0.41916,60.384,-17,1,0,0.470588235,17,0.533333333,15,1,0,0,5,12
FIG3B_FANCF_-27,34.79504497,0.403841,0.417398,0.422615,0,0,0.489373,0.562752,0.616559,0.404245,0.41916,60.384,-27,1,0,0.470588235,17,0.533333333,15,1,0,0,5,12
FIG3B_FANCF_-50,42.26371793,0.403841,0.417398,0.422615,0,0,0.489373,0.562752,0.616559,0.404245,0.41916,60.384,-50,1,0,0.470588235,17,0.533333333,15,1,0,0,5,12
FIG3B_FANCF_-78,32.56077203,0.403841,0.417398,0.422615,0,0,0.489373,0.562752,0.616559,0.404245,0.41916,60.384,-78,1,0,0.470588235,17,0.533333333,15,1,0,0,5,12
FIG3B_FANCF_NONE,24.42830833,0.403841,0.417398,0.422615,0,0,0.489373,0.562752,0.616559,0.404245,0.41916,60.384,,1,0,0.470588235,17,0.533333333,15,1,0,0,5,12
FIG3B_HEK3_+26,43.55065377,0.789725,0.269945,0.263465,0.0875384,0.0859875,0.0494757,0.346241,0.441531,0.486082,0.523403,63.265,26,0,0,0.5,10,0.615384615,13,1,0,0,2,8
FIG3B_HEK3_+37,24.2602825,0.789725,0.269945,0.263465,0.0875384,0.0859875,0.0494757,0.346241,0.441531,0.486082,0.523403,63.265,37,0,0,0.5,10,0.615384615,13,1,0,0,2,8
